bill_type_bill_name_bill_ID	missing_votes	 Arlen Specter (PA)	 Barack H. Obama (IL)	 Barbara A. Mikulski (MD)	 Barbara Boxer (CA)	 Bill Nelson (FL)	 Blanche L. Lincoln (AR)	 Byron L. Dorgan (ND)	 C. Saxby Chambliss (GA)	 Carl Levin (MI)	 Charles E. 'Chuck' Grassley (IA)	 Charles E. 'Chuck' Schumer (NY)	 Charles T. 'Chuck' Hagel (NE)	 Christopher J. Dodd (CT)	 Christopher S. 'Kit' Bond (MO)	 Conrad R. Burns (MT)	 Craig Thomas (WY)	 Daniel K. Inouye (HI)	 Daniel Kahikina Akaka (HI)	 David B. Vitter (LA)	 Debbie Ann Stabenow (MI)	 Dianne Feinstein (CA)	 E. Benjamin 'Ben' Nelson (NE)	 Edward M. 'Ted' Kennedy (MA)	 Elizabeth H. Dole (NC)	 Evan Bayh (IN)	 Frank R. Lautenberg (NJ)	 George Felix Allen (VA)	 George V. Voinovich (OH)	 Gordon Harold Smith (OR)	 Harry M. Reid (NV)	 Herbert H. 'Herb' Kohl (WI)	 Hillary Rodham Clinton (NY)	 James M. 'Jim' Inhofe (OK)	 James M. 'Jim' Talent (MO)	 James Merrill 'Jim' Jeffords (VT)	 Jeff Bingaman (NM)	 Jefferson B. 'Jeff' Sessions III (AL)	 Jim Bunning (KY)	 Jim W. DeMint (SC)	 John Cornyn (TX)	 John D. 'Jay' Rockefeller IV (WV)	 John E. Sununu (NH)	 John Eric Ensign (NV)	 John F. 'Jack' Reed (RI)	 John Forbes Kerry (MA)	 John H. 'Johnny' Isakson (GA)	 John R. Thune (SD)	 John S. McCain (AZ)	 John W. Warner (VA)	 Jon Kyl (AZ)	 Joseph I. Lieberman (CT)	 Joseph R. Biden Jr. (DE)	 Judd A. Gregg (NH)	 Kay Bailey Hutchison (TX)	 Ken Salazar (CO)	 Kent Conrad (ND)	 Lamar Alexander (TN)	 Larry E. Craig (ID)	 Lincoln D. Chafee (RI)	 Lindsey O. Graham (SC)	 Lisa A. Murkowski (AK)	 Maria Cantwell (WA)	 Mark Dayton (MN)	 Mark Pryor (AR)	 Mary L. Landrieu (LA)	 Max S. Baucus (MT)	 Mel Martinez (FL)	 Michael B. Enzi (WY)	 Michael D. 'Mike' Crapo (ID)	 Michael 'Mike' DeWine (OH)	 Mitch McConnell (KY)	 Norm Coleman (MN)	 Olympia J. Snowe (ME)	 Orrin G. Hatch (UT)	 Pat Roberts (KS)	 Patrick J. Leahy (VT)	 Patty Murray (WA)	 Paul S. Sarbanes (MD)	 Pete V. Domenici (NM)	 Richard C. Shelby (AL)	 Richard G. Lugar (IN)	 Richard J. 'Dick' Durbin (IL)	 Richard J. 'Rick' Santorum (PA)	 Richard M. Burr (NC)	 Robert C. Byrd (WV)	 Robert F. Bennett (UT)	 Robert Menendez (NJ)	 Ron Wyden (OR)	 Russell D. Feingold (WI)	 Samuel D. 'Sam' Brownback (KS)	 Susan M. Collins (ME)	 Ted Stevens (AK)	 Thad Cochran (MS)	 Thomas Allen 'Tom' Coburn (OK)	 Thomas Richard Carper (DE)	 Thomas 'Tom' Harkin (IA)	 Tim P. Johnson (SD)	 Trent Lott (MS)	 Wayne A. Allard (CO)	 William H. 'Bill' Frist (TN)
Legal Issues_Class Action Fairness Act of 2005_3471	3	1	1	-1	-1	-1	1	-1	1	-1	1	1	1	1	1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	1	1	1	-1	1	-1	1	1	1	1	1	1	1	1	1	0	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	0	1	-1	1	0	-1	-1	1	1	1	1	1	1	-1	1	1	1	1
Military Issues_Military Funding and Tax Cuts Amendment_3798	3	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	0	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	0	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	0	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Senior and Social Security Issues_Medicare Part D Amendment_3797	3	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	0	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	0	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	1	-1	1	1	-1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	0	-1	-1	1	-1	-1	1	-1	1	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
Social Issues_Same Sex Marriage Resolution_3841	3	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	0	1	1	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	0	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	1	-1	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	-1	1	1	1	-1	-1	-1	1	1	1
Veterans Issues_Tax Rate Extension Amendment_3800	3	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	0	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	0	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	0	-1	-1	1	-1	-1	1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Appropriations_Defense Department FY2006 Appropriations bill_3639	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Appropriations_Homeland Security Department FY 2006 Appropriations Act_3569	4	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	0	1	1
Energy Issues_Energy Policy Act of 2005_3559	4	1	1	1	1	1	1	1	1	1	1	-1	1	0	1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	-1	1	-1	1	1	1	-1	1	-1	0	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	-1	1	1	1	1	1	1	1	1	1	1	1
Energy Issues_Gulf of Mexico Energy Security Act of 2006_3883	4	1	-1	-1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	1	1	-1	1	-1	1	-1	-1	1	1	1	1	1	1	1	1	-1	-1	1	0	1	1	1	1	1	-1	0	1	1	1	1	1	0	-1	1	1	1	1	1	1	1	1	1	-1	-1	1	1	0	1	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1
"Executive Branch_Thomas B. Griffith, US Circuit Judge_3535"	4	0	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	-1	1	1	-1	1	-1	-1	1	1	1	1	1	-1	1	1	0	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	-1	-1	1	-1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	1	0	1	-1	1	0	-1	-1	1	1	1	1	1	1	-1	-1	1	1	1
Health Issues_AIDS Drug Assistance Program Amendment_3657	4	-1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	0	1	-1	1	1	-1	1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	1	-1	-1	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	0	1	-1	0	1	1	-1	1	-1	-1	-1	-1	1	1	-1	-1	-1
National Security Issues_Disclosure of Classified Information Amendment_3573	4	-1	1	0	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	0	-1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	0	-1	-1
Appropriations_Defense Department FY 2007 Authorization bill_3855	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1
Congressional Affairs_Financial Relief For Hurricane Katrina Victims Amend_3622	5	1	1	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	0	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	0	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	0	-1	-1
Education_Elementary and Secondary Education Act Amendment_3661	5	-1	1	1	1	0	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	-1	1	1	-1	-1	-1	0	-1	1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	0	-1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	1	1	-1	-1	-1
"Executive Branch_Alberto R. Gonzales, for Attorney General_3452"	5	1	-1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	0	1	0	-1	1	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	-1	-1	1	1	0	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	1
"Executive Branch_David W. McKeague, US Circuit Judge_3537"	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Foreign Aid and Policy Issues_Media in the Middle East Amendment_3895	5	1	-1	-1	-1	-1	-1	-1	0	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	-1	0	1	1	1	1	0	-1	1	1	-1	-1	1	1	0	1	1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	0	1	-1	1	-1	-1	-1	1	1	1	1	1	-1	-1	-1	1	1	1
Gun Issues_Firearms Manufacturers Protection bill_3597	5	1	-1	-1	-1	1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	-1	0	1	-1	1	-1	-1	1	1	0	1	1	-1	1	1	1	-1	1	1	1	1	1	0	1	-1	-1	1	1	1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1	0	-1	-1	-1	1	1	1	-1	1	1	1	1	0	-1	-1	1	1	1	1	1	-1	-1	1	1	1	1
"Immigration_""State Criminal Alien Assistance Program"" Amendment_3831"	5	1	1	1	1	1	1	0	-1	1	-1	1	-1	1	-1	-1	0	1	1	-1	1	1	-1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	0	-1	-1	0	-1	-1	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
Appropriations_Energy and Water Appropriations bill FY 2006_3563	6	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	-1	1	1	1	1	1	-1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	-1	1	1	1	1	1	1
"Appropriations_Transportation, Treasury, HUD, Judiciary, Appropriation_3651"	6	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Business and Consumers_Minimum Wage Amendment_3482	6	0	1	0	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	-1	-1	1	0	-1	-1	1	-1	-1	1	1	1	1	0	-1	-1	-1	1	-1	1	-1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	-1	0	1	1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1
"Executive Branch_Richard A Griffin, US Circuit Judge_3536"	6	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Trade Issues_U.S. -Oman Free Trade Agreement_3865	6	1	1	-1	0	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	1	0	-1	1	-1	-1	-1	-1	1	1	1	-1	-1	1	1	1	1	-1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	-1	0	1	1	-1	1	1	0	1	1	1	-1	1	1	1	1	1	1	1	1	1	-1	1	1	0	0	-1	1	1	1	-1	1	-1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	-1	-1	1	1	1
Trade Issues_U.S.-Oman Free Trade Agreement Implementation_3902	6	1	1	-1	-1	1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	0	1	-1	-1	1	0	-1	0	-1	1	1	1	-1	-1	1	1	1	1	-1	1	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	-1	1	1	1	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	0	-1	1	1	-1	1	-1	1	1	1	-1	1	-1	-1	1	0	-1	-1	1	-1	1	1	-1	-1	0	-1	1	1	1
Transportation Issues_Transportation Equity Act: A Legacy for Users_3598	6	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	-1	1	0	1	1	1	1	1	-1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Appropriations_Defense Department FY2006 Appropriations bill_3791	7	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1
Appropriations_Interior Department FY 2006 Appropriations Bill_3562	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Environmental Issues_Removal of ANWR Provision from HR 2863_3792	7	1	1	1	1	1	1	1	-1	1	-1	1	-1	0	-1	-1	-1	1	1	-1	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	0	-1	1	-1	-1	1	1	-1	-1	0	-1	-1	1	1	0	-1	1	1	-1	-1	0	-1	-1	1	1	1	-1	1	-1	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	1	1	-1	-1	1	-1	0	1	1	-1	1	-1	-1	-1	1	0	1	-1	-1	-1
Executive Branch_Michael Hayden Confirmation_3837	7	-1	-1	1	0	1	1	-1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	-1	0	-1	1	1	1	1	1	1	-1	1	1	1	1	1	1	1	1	0	1	1	1	-1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	1	-1	-1	-1	1	1	1	1	1	1	-1	1	1	1	1
Appropriations_Foreign Operations FY2006 Appropriations Bill_3678	9	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Appropriations_Future Military Funding for Iraq Amendment_3504	9	1	0	1	1	1	1	1	-1	1	-1	1	1	1	0	0	-1	1	1	-1	1	1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	-1	-1	-1	-1	1	1	-1	1	0	-1	1	1	1	-1	1	0	-1	1	1	1	-1	1	1	-1	-1	1	1	1	0	1	-1	-1	1	-1	0	1	1	1	-1	1	1	1	-1	-1	-1	0	-1	-1	1	1	0	1	1	-1	1	1	-1	1	1	1	1	-1	-1	-1
Defense_Detainees at Guantanamo Bay Amendment_3682	9	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	0	-1	1	1	0	0	-1	1	-1	-1	1	-1	1	-1	-1	1	1	-1	-1	-1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	-1	-1	1	1	1	1	1	1	-1	1	1	-1	1	0	1	-1	1	1	-1	-1	-1	1	-1	1	0	1	1	1	1	1	1	1	-1	-1	-1	0	1	0	-1	0	1	-1	1	0	1	-1	1	1	1	1	1	-1	-1	-1	1	1	1
"Executive Branch_Second cloture motion on John Bolton, Ambassador to UN_3540"	9	1	-1	-1	-1	-1	-1	-1	1	0	1	-1	1	-1	1	0	1	-1	-1	1	-1	-1	1	-1	1	-1	-1	1	-1	1	-1	0	-1	1	1	-1	-1	1	1	1	1	-1	1	1	-1	0	1	0	1	1	1	-1	-1	1	1	-1	-1	1	1	1	1	1	-1	-1	1	1	-1	1	1	1	1	1	0	1	1	1	-1	-1	-1	1	1	1	-1	1	1	-1	1	0	-1	0	1	1	1	1	1	-1	-1	0	1	1	1
"Budget, Spending and Taxes_ANWR Oil Drilling Amendment_3243"	10	-1	0	1	1	1	1	1	-1	1	-1	1	-1	1	-1	-1	-1	-1	-1	0	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	-1	-1	0	-1	1	-1	-1	1	1	0	0	1	-1	-1	1	1	-1	-1	0	1	-1	-1	1	-1	-1	1	1	1	-1	1	0	-1	-1	1	-1	1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	0	1	-1	0	1	1	-1	1	-1	-1	0	1	1	1	-1	-1	-1
"Budget, Spending and Taxes_Budget Resolution FY2004_3247"	10	1	0	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	-1	0	0	-1	1	1	-1	-1	1	1	0	-1	1	1	1	1	1	-1	-1	-1	1	1	0	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	0	-1	1	0	-1	-1	1	1	1	1	0	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Congressional Budget for fiscal year 2004_3252"	10	1	0	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	-1	0	0	-1	1	1	-1	-1	1	1	0	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	0	1	1	1	1	1	1	1	1	-1	-1	-1	1	1	1	-1	1	0	-1	1	0	-1	-1	1	1	1	1	0	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Jobs and Economic Growth bill_3257"	10	1	0	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1	1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	-1	0	0	-1	1	1	-1	-1	1	1	0	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	0	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	0	-1	1	0	-1	-1	1	1	1	1	0	-1	-1	-1	1	1	1
"Budget, Spending and Taxes_Jobs and Economic Growth bill_3262"	10	1	0	-1	-1	-1	-1	-1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	-1	0	0	-1	1	1	-1	-1	1	1	0	-1	1	1	-1	1	1	-1	-1	-1	-1	-1	0	1	1	1	1	1	-1	1	1	-1	-1	-1	1	1	1	-1	1	0	-1	1	0	-1	-1	1	1	1	1	0	-1	-1	-1	1	1	1
Energy Issues_Hydrogen Fuel Cell Amendment_3267	10	1	0	1	1	1	1	1	-1	1	1	1	-1	1	-1	1	-1	1	1	0	1	1	1	1	-1	1	1	-1	-1	1	1	1	1	-1	-1	1	1	1	-1	0	-1	1	-1	1	1	1	0	0	1	1	-1	1	1	-1	1	0	1	-1	-1	1	1	-1	1	1	1	1	1	0	-1	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	1	1	1	0	1	-1	0	1	1	1	1	-1	-1	0	1	1	1	-1	-1	-1
Energy Issues_Reduction of Foreign Oil Dependence Amendment_3268	10	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	-1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Abortion Issues_Prohibit Partial-Birth Abortion bill_3332	11	1	0	-1	-1	-1	1	1	1	-1	1	-1	1	-1	1	1	1	-1	-1	0	-1	-1	1	-1	1	1	-1	1	1	1	1	-1	-1	1	1	-1	-1	1	1	0	1	-1	1	1	-1	-1	0	0	1	1	1	-1	1	1	0	0	1	1	1	-1	1	1	-1	-1	1	1	-1	0	1	1	1	1	1	-1	1	1	1	-1	-1	1	1	1	-1	1	0	1	1	0	-1	-1	1	-1	1	1	0	1	-1	1	1	1	1
Appropriations_Fiscal 04 Military Construction Appropriation-Adoption_3353	11	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Defense_Emergency Appropriations for Iraq and Afghanistan_3330	11	1	0	1	-1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	-1	1	1	-1	1	1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	-1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	-1	1	-1	1	1	1	1	1	0	-1	1	0	1	1	1	1	1	1	0	1	-1	1	1	1	1
Defense_Fiscal 2004 Defense Authorization - Conference Report_3352	11	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Defense_Fiscal 2004 Defense Authorization-Passage_3261	11	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
Employment and Affirmative Action_Unemployment Benefits Amendment_3400	11	1	0	1	1	1	1	1	-1	1	-1	1	-1	1	1	-1	-1	1	1	0	1	1	1	1	1	1	1	-1	1	1	1	1	1	-1	1	1	1	-1	-1	0	-1	1	-1	-1	1	0	0	0	1	-1	-1	1	1	-1	-1	0	1	-1	-1	1	-1	1	1	1	1	1	1	0	-1	-1	1	-1	-1	1	-1	-1	1	1	1	-1	-1	-1	1	-1	0	1	-1	0	1	1	-1	1	-1	-1	0	1	1	1	-1	-1	-1
